Bureau of Justice Statistics,,,,
Filename: mschpprts05at01.csv,,,,
"Appendix table 1. Percent of prisoners released in 30 states in 2005 who had an out-of-state arrest prior to release, by state of release ",,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
Date of version: 9/24/2015,,,,
 ,,,,
"Appendix table 1. Percent of prisoners released in 30 states in 2005 who had an out-of-state arrest prior to release, by state of release ",,,,
,,Number of ,,
State of release,,prisoners released ,Percent with at least one prior out-of-state arrest,
,All released prisoners,"404,638",24.7,%
Alaska,,"1,764",28.9,
Arkansas,,"10,513",33.5,
California,,"106,116",18.8,
Colorado,,"8,042",40.7,
Florida,,"30,975",27.5,
Georgia,,"12,054",24.4,
Hawaii,,"1,022",18.6,
Iowa,,"4,465",35.8,
Louisiana,,"12,552",19.8,
Maryland,,"9,859",24,
Michigan,,"11,775",22,
Minnesota,,"4,581",39.1,
Missouri,,"15,513",29.3,
Nebraska,,"1,366",40.6,
Nevada,,"4,965",57.3,
New Jersey,,"12,992",30.5,
New York,,"23,448",21.6,
North Carolina,,"11,335",27.2,
North Dakota,,868,45.2,
Ohio,,"15,688",22.8,
Oklahoma,,"7,459",31.4,
Oregon,,"4,625",38.1,
Pennsylvania,,"12,020",27.6,
South Carolina,,"9,982",24.9,
South Dakota,,"2,151",43.1,
Texas,,"43,118",16.6,
Utah,,"2,974",36.9,
Virginia,,"12,319",30.4,
Washington,,"8,234",34.9,
West Virginia,,"1,864",34.5,
Note: See appendix table 2 for standard errors.,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,
