Bureau of Justice Statistics,,,
Filename: mschpprts05at02.csv,,,
"Appendix table 2. Standard errors for appendix table 1: Percent of prisoners released in 30 states in 2005 who had an out-of-state arrest prior to release, by state of release",,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
Date of version: 9/24/2015,,,
 ,,,
"Appendix table 2. Standard errors for appendix table 1: Percent of prisoners released in 30 states in 2005 who had an out-of-state arrest prior to release, by state of release",,,
State of release,Percent with at least one prior out-of-state arrest,,
,All released prisoners,0.24,%
Alaska,,0.87,
Arkansas,,0.87,
California,,0.73,
Colorado,,0.92,
Florida,,0.84,
Georgia,,0.82,
Hawaii,,0.71,
Iowa,,0.89,
Louisiana,,0.74,
Maryland,,0.81,
Michigan,,0.81,
Minnesota,,0.91,
Missouri,,0.84,
Nebraska,,0.89,
Nevada,,0.97,
New Jersey,,0.88,
New York,,0.78,
North Carolina,,0.84,
North Dakota,,0.94,
Ohio,,0.79,
Oklahoma,,0.87,
Oregon,,0.89,
Pennsylvania,,0.86,
South Carolina,,0.8,
South Dakota,,0.9,
Texas,,0.68,
Utah,,0.87,
Virginia,,0.86,
Washington,,0.87,
West Virginia,,0.9,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
