Bureau of Justice Statistics,,,,,,
Filename: mschpprts05at04.csv,,,,,,
"Appendix table 4. Standard errors for appendix table 3: Number and proportion of all arrests prior to release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
Date of version: 9/24/2015,,,,,,
 ,,,,,,
"Appendix table 4. Standard errors for appendix table 3: Number and proportion of all arrests prior to release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,
,,,,,,
,,,Arrests prior to release,,,
,,,Within state ,,Outside state ,
State of release,Number of arrests prior to release,,of release,,of release,
,All released prisoners,"23,080",0.16,%,0.16,%
Alaska,,260,0.9,,0.9,
Arkansas,,"1,140",0.73,,0.73,
California,,"20,610",0.36,,0.36,
Colorado,,"1,360",0.61,,0.61,
Florida,,"6,020",0.47,,0.47,
Georgia,,"1,840",0.58,,0.58,
Hawaii,,210,0.42,,0.42,
Iowa,,500,0.85,,0.85,
Louisiana,,"1,710",0.5,,0.5,
Maryland,,"1,800",0.47,,0.47,
Michigan,,"1,030",0.73,,0.73,
Minnesota,,680,0.75,,0.75,
Missouri,,"1,900",0.64,,0.64,
Nebraska,,160,0.95,,0.95,
Nevada,,740,0.93,,0.93,
New Jersey,,"1,930",0.59,,0.59,
New York,,"3,660",0.56,,0.56,
North Carolina,,"1,210",0.84,,0.84,
North Dakota,,80,0.9,,0.9,
Ohio,,"2,010",0.66,,0.66,
Oklahoma,,740,0.86,,0.86,
Oregon,,950,0.64,,0.64,
Pennsylvania,,"1,580",0.62,,0.62,
South Carolina,,"1,560",0.63,,0.63,
South Dakota,,320,0.82,,0.82,
Texas,,"4,260",0.62,,0.62,
Utah,,420,0.64,,0.64,
Virginia,,"1,750",0.68,,0.68,
Washington,,"1,600",0.54,,0.54,
West Virginia,,230,0.74,,0.74,
Note: Number of arrests was rounded to the nearest 10.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,
