Bureau of Justice Statistics,,,,,,,,
Filename: mschpprts05at05.csv,,,,,,,,
"Appendix table 5. Percent of prisoners released in 30 states in 2005 who were arrested in another state following release, by state of release",,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version: 9/24/2015,,,,,,,,
 ,,,,,,,,
"Appendix table 5. Percent of prisoners released in 30 states in 2005 who were arrested in another state following release, by state of release",,,,,,,,
,,,,,,,,
,Number of ,,"Following release, percent arrested in another state within—",,,,,
State of release,prisoners released,,1 year,,3 years,,5 years,
,All released prisoners,"404,638",3.3,%,7.7,%,10.9,%
Alaska,,"1,764",2,,5.5,,10,
Arkansas,,"10,513",6,,12.7,,17.4,
California,,"106,116",2,,4,,5.9,
Colorado,,"8,042",5,,10.4,,14.9,
Florida,,"30,975",4,,8.9,,12.7,
Georgia,,"12,054",4,,8.1,,11.2,
Hawaii,,"1,022",2,,5.1,,6.7,
Iowa,,"4,465",6,,13.3,,18.3,
Louisiana,,"12,552",4,,9.5,,13.3,
Maryland,,"9,859",5,,9.6,,13,
Michigan,,"11,775",3,,6.7,,10.6,
Minnesota,,"4,581",6,,13.3,,17.3,
Missouri,,"15,513",4,,9.4,,13.2,
Nebraska,,"1,366",9,,21.2,,26.2,
Nevada,,"4,965",10,,18.8,,24.4,
New Jersey,,"12,992",4,,10.8,,16.5,
New York,,"23,448",3,,7.4,,11,
North Carolina,,"11,335",4,,11.4,,14.9,
North Dakota,,868,7,,15.3,,21.8,
Ohio,,"15,688",3,,8.5,,11.4,
Oklahoma,,"7,459",5,,11.4,,14.3,
Oregon,,"4,625",5,,12.9,,17,
Pennsylvania,,"12,020",3,,7.1,,9.7,
South Carolina,,"9,982",4,,10,,14.5,
South Dakota,,"2,151",6,,11.2,,16.2,
Texas,,"43,118",2,,5,,7.5,
Utah,,"2,974",3,,8.8,,13,
Virginia,,"12,319",5,,9,,12.4,
Washington,,"8,234",5,,10.8,,14.1,
West Virginia,,"1,864",7,,14.6,,20.3,
Note: Prisoners were tracked for 5 years following release. See appendix table 6 for standard errors.,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
