Bureau of Justice Statistics,,,,,,,
Filename: mschpprts05at06.csv,,,,,,,
"Appendix table 6. Standard errors for appendix table 5: Percent of prisoners released in 30 states in 2005 who were arrested in another state following release, by state of release",,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 9/24/2015,,,,,,,
 ,,,,,,,
"Appendix table 6. Standard errors for appendix table 5: Percent of prisoners released in 30 states in 2005 who were arrested in another state following release, by state of release",,,,,,,
,,"Following release, percent ",,,,,
,,arrested in another state within—,,,,,
State of release,,1 year,,3 years,,5 years,
,All released prisoners,0.09,%,0.13,%,0.16,%
Alaska,,0.28,,0.44,,0.59,
Arkansas,,0.44,,0.62,,0.7,
California,,0.24,,0.37,,0.44,
Colorado,,0.4,,0.58,,0.67,
Florida,,0.39,,0.54,,0.63,
Georgia,,0.35,,0.52,,0.6,
Hawaii,,0.25,,0.4,,0.46,
Iowa,,0.43,,0.63,,0.72,
Louisiana,,0.38,,0.55,,0.64,
Maryland,,0.42,,0.56,,0.64,
Michigan,,0.32,,0.49,,0.6,
Minnesota,,0.45,,0.64,,0.71,
Missouri,,0.38,,0.54,,0.63,
Nebraska,,0.53,,0.75,,0.8,
Nevada,,0.61,,0.78,,0.86,
New Jersey,,0.36,,0.6,,0.71,
New York,,0.3,,0.5,,0.6,
North Carolina,,0.39,,0.61,,0.68,
North Dakota,,0.49,,0.69,,0.79,
Ohio,,0.32,,0.53,,0.6,
Oklahoma,,0.41,,0.6,,0.66,
Oregon,,0.42,,0.62,,0.7,
Pennsylvania,,0.35,,0.5,,0.57,
South Carolina,,0.36,,0.56,,0.66,
South Dakota,,0.42,,0.58,,0.67,
Texas,,0.25,,0.4,,0.49,
Utah,,0.34,,0.52,,0.62,
Virginia,,0.4,,0.54,,0.62,
Washington,,0.41,,0.57,,0.64,
West Virginia,,0.48,,0.67,,0.77,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
