Bureau of Justice Statistics,,,,,,
Filename: mschpprts05at08.csv,,,,,,
"Appendix table 8. Standard errors for appendix table 7: Number and proportion of all arrests following release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
Date of version: 9/24/2015,,,,,,
 ,,,,,,
"Appendix table 8. Standard errors for appendix table 7: Number and proportion of all arrests following release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,
,,Arrests following release,,,,
,,Number of arrests ,Within state ,,Outside state ,
State of release,,following release,of release,,of release,
,All released prisoners,"8,330",0.18,%,0.18,%
Alaska,,100,1.28,,1.28,
Arkansas,,580,1.09,,1.09,
California,,"7,280",0.33,,0.33,
Colorado,,490,0.66,,0.66,
Florida,,"2,310",0.85,,0.85,
Georgia,,700,0.65,,0.65,
Hawaii,,60,0.99,,0.99,
Iowa,,180,1.08,,1.08,
Louisiana,,670,0.81,,0.81,
Maryland,,650,0.63,,0.63,
Michigan,,480,0.83,,0.83,
Minnesota,,310,0.84,,0.84,
Missouri,,730,0.78,,0.78,
Nebraska,,70,1.09,,1.09,
Nevada,,390,1.27,,1.27,
New Jersey,,690,1.02,,1.02,
New York,,"1,310",0.73,,0.73,
North Carolina,,570,1.15,,1.15,
North Dakota,,40,1,,1,
Ohio,,890,0.73,,0.73,
Oklahoma,,310,1.06,,1.06,
Oregon,,410,0.74,,0.74,
Pennsylvania,,470,0.88,,0.88,
South Carolina,,670,0.75,,0.75,
South Dakota,,100,1.05,,1.05,
Texas,,"1,700",0.86,,0.86,
Utah,,220,0.73,,0.73,
Virginia,,670,0.9,,0.9,
Washington,,670,0.53,,0.53,
West Virginia,,90,1.04,,1.04,
Note: Number of arrests was rounded to nearest 10.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,
