Bureau of Justice Statistics,,,,,,,
Filename: mschpprts05at09.csv,,,,,,,
"Appendix table 9. Percent increase in the in-state recidivism rate when out-of-state arrests were included, among prisoners released in 30 states in 2005, by state of release ",,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 9/24/2015,,,,,,,
 ,,,,,,,
"Appendix table 9. Percent increase in the in-state recidivism rate when out-of-state arrests were included, among prisoners released in 30 states in 2005, by state of release ",,,,,,,
State of release,,1 year,,3 years,,5 years,
,All released prisoners,2.4,%,4.1,%,4.7,%
Alaska,,2.2,,4.4,,6.5,
Arkansas,,4.1,,6.6,,7.4,
California,,1.1,,1.8,,2.1,
Colorado,,3,,4.9,,5.7,
Florida,,3.3,,5.1,,5.4,
Georgia,,2.5,,3.8,,4.2,
Hawaii,,1.4,,3,,3.2,
Iowa,,4.4,,7.5,,8.2,
Louisiana,,3.3,,5.3,,5.8,
Maryland,,3.1,,4.5,,4.5,
Michigan,,2.4,,3.8,,4.5,
Minnesota,,3.4,,5.1,,5.6,
Missouri,,3.3,,4.8,,5.5,
Nebraska,,7.1,,12.5,,13.8,
Nevada,,8,,12,,13.4,
New Jersey,,2.7,,6.1,,7.9,
New York,,2,,4.1,,5.4,
North Carolina,,3.7,,7.5,,7.8,
North Dakota,,5.2,,7.7,,8.7,
Ohio,,1.9,,3.4,,3.9,
Oklahoma,,3.7,,6.8,,7.3,
Oregon,,3.3,,4.9,,5.3,
Pennsylvania,,2.8,,4,,4.9,
South Carolina,,3.2,,6,,7,
South Dakota,,4.8,,7.8,,9,
Texas,,1.5,,3.1,,4.2,
Utah,,2.5,,3.9,,4.3,
Virginia,,3.5,,5.1,,5.9,
Washington,,3.4,,4.4,,4.5,
West Virginia,,4.9,,8.7,,9.8,
"Note: Prisoners were tracked for 5 years following release. In this table, recidivism is measured as a new arrest. See appendix table 10 for standard errors.",,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
