Bureau of Justice Statistics,,,,,,,
Filename: mschpprts05at10.csv,,,,,,,
"Appendix table 10. Standard errors for appendix table 9: Percent increase in the in-state recidivism rate when out-of-state arrests were included, among prisoners released in 30 states in 2005, by state of release",,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 9/24/2015,,,,,,,
,,,,,,,
"Appendix table 10. Standard errors for appendix table 9: Percent increase in the in-state recidivism rate when out-of-state arrests were included, among prisoners released in 30 states in 2005, by state of release",,,,,,,
,,1 year,,3 years,,5 years,
,All released prisoners,0.07,%,0.1,%,0.1,%
Alaska,,0.28,,0.39,,0.47,
Arkansas,,0.37,,0.46,,0.48,
California,,0.19,,0.25,,0.27,
Colorado,,0.32,,0.41,,0.43,
Florida,,0.34,,0.41,,0.42,
Georgia,,0.29,,0.37,,0.38,
Hawaii,,0.22,,0.32,,0.32,
Iowa,,0.38,,0.49,,0.51,
Louisiana,,0.34,,0.42,,0.44,
Maryland,,0.33,,0.4,,0.39,
Michigan,,0.3,,0.37,,0.4,
Minnesota,,0.34,,0.41,,0.42,
Missouri,,0.33,,0.4,,0.42,
Nebraska,,0.47,,0.61,,0.64,
Nevada,,0.55,,0.65,,0.68,
New Jersey,,0.31,,0.45,,0.51,
New York,,0.27,,0.38,,0.43,
North Carolina,,0.37,,0.51,,0.51,
North Dakota,,0.44,,0.51,,0.52,
Ohio,,0.26,,0.34,,0.36,
Oklahoma,,0.36,,0.48,,0.49,
Oregon,,0.33,,0.4,,0.41,
Pennsylvania,,0.32,,0.37,,0.41,
South Carolina,,0.32,,0.44,,0.48,
South Dakota,,0.39,,0.48,,0.52,
Texas,,0.22,,0.32,,0.37,
Utah,,0.29,,0.36,,0.37,
Virginia,,0.35,,0.42,,0.45,
Washington,,0.34,,0.38,,0.38,
West Virginia,,0.41,,0.53,,0.56,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
