Bureau of Justice Statistics,,,,,,,
Filename: mschpprts05at11.csv,,,,,,,
Appendix table 11. States where prisoners released in 30 states in 2005 were arrested prior to and within 5 years following release,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 9/24/2015,,,,,,,
 ,,,,,,,
Appendix table 11. States where prisoners released in 30 states in 2005 were arrested prior to and within 5 years following release,,,,,,,
,,,,,,,
State of release,Total number of states where released prisoners were arrested*,,Most common states where prisoners were ,,,,
Alaska,47,,Washington,,California,,Oregon
Arkansas,50,,Texas,,Missouri,,California
California,48,,Nevada,,Arizona,,Texas
Colorado,50,,California,,Texas,,Arizona
Florida,52,,Georgia,,New York,,Texas
Georgia,52,,Florida,,South Carolina,,Alabama
Hawaii,44,,California,,Nevada,,Washington
Iowa,48,,Illinois,,Nebraska,,Missouri
Louisiana,48,,Texas,,California,,Florida
Maryland,46,,District of Columbia,,Virginia,,Pennsylvania
Michigan,47,,Florida,,Illinois,,Ohio
Minnesota,47,,Wisconsin,,Illinois,,North Dakota
Missouri,47,,Kansas,,Illinois,,California
Nebraska,44,,Iowa,,California,,Texas
Nevada,49,,California,,Arizona,,Utah
New Jersey,47,,New York,,Pennsylvania,,Florida
New York,47,,New Jersey,,Florida,,Pennsylvania
North Carolina,49,,South Carolina,,Florida,,Virginia
North Dakota,42,,Minnesota,,South Dakota,,California
Ohio,48,,Florida,,Kentucky,,California
Oklahoma,47,,Texas,,California,,Kansas
Oregon,50,,Washington,,California,,Idaho
Pennsylvania,49,,New Jersey,,New York,,Florida
South Carolina,50,,Georgia,,North Carolina,,Florida
South Dakota,49,,Minnesota,,Iowa,,Nebraska
Texas,50,,California,,Louisiana,,Florida
Utah,46,,California,,Nevada,,Colorado
Virginia,49,,Maryland,,District of Columbia,,North Carolina
Washington,50,,Oregon,,California,,Idaho
West Virginia,42,,Ohio,,Virginia,,North Carolina
*Includes the state where released as well as the District of Columbia and the U.S. territories.,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
