Bureau of Justice Statistics,,,,,,,
Filename: mschpprts05at13.csv,,,,,,,
"Appendix table 13. Standard errors for table 1: Characteristics of prisoners released in 30 states in 2005, by number of prior out-of-state arrests",,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 9/24/2015,,,,,,,
 ,,,,,,,
"Appendix table 13. Standard errors for table 1: Characteristics of prisoners released in 30 states in 2005, by number of prior out-of-state arrests",,,,,,,
,,,,Number of prior out-of-state arrrests,,,
Characteristic,,All released prisoners,,0,,1 or more,
Sex,,,,,,,
,Male,--,,0.06,%,0.18,%
,Female,--,,0.06,,0.18,
Race/Hispanic origin,,,,,,,
,White,0.28,%,0.32,%,0.55,%
,Black/African American,0.27,,0.32,,0.52,
,Hispanic/Latino,0.26,,0.33,,0.42,
,Other,0.09,,0.11,,0.16,
Age at release,,,,,,,
,24 or younger,0.22,%,0.28,%,0.27,%
,25–29,0.24,,0.29,,0.36,
,30–34,0.22,,0.26,,0.39,
,35–39,0.22,,0.26,,0.41,
,40 or older,0.28,,0.32,,0.55,
,Mean age,0.06,,0.07,,0.11,
Most serious ,,,,,,,
  commitment offense ,,,,,,,
,Violent,0.26,%,0.31,%,0.49,%
,Property,0.28,,0.33,,0.51,
,Drug,0.28,,0.33,,0.51,
,Public order,0.18,,0.22,,0.33,
Number of released ,,,,,,,
  prisoners,,,970,,970,,
Note: Number of released prisoners was rounded to the nearest 10.,,,,,,,
--Less than 0.005%.,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,
