Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: mschpprts05at16.csv,,,,,,,,,,,,,,,,,,,
Appendix table 16. Estimates and standard errors for figure 2: Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release,,,,,,,,,,,,,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 9/24/2015,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Appendix table 16. Estimates and standard errors for figure 2: Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,Standard error,,,,,,,,
,Arrested for any type of crime,,,,,Arrested for a violent crime,,,,,Arrested for any type of crime,,,,,Arrested for a violent crime,,,
Months,National,,In-state,,,National,,In-state,,,National,,In-state,,,National,,In-state,
6,28.2,%,26.7,%,,4.6,%,4.3,%,,0.28,%,0.28,%,,0.13,%,0.13,%
12,43.4,,41,,,8.7,,8.1,,,0.29,,0.29,,,0.17,,0.17,
18,53,,49.9,,,12.2,,11.2,,,0.28,,0.28,,,0.2,,0.19,
24,59.5,,56,,,15.2,,14,,,0.27,,0.27,,,0.21,,0.21,
30,64.3,,60.5,,,17.9,,16.5,,,0.26,,0.27,,,0.23,,0.22,
36,67.8,,63.8,,,20.3,,18.6,,,0.25,,0.26,,,0.24,,0.24,
42,70.6,,66.3,,,22.6,,20.6,,,0.25,,0.26,,,0.25,,0.25,
48,73,,68.5,,,24.8,,22.6,,,0.24,,0.25,,,0.26,,0.25,
54,75,,70.4,,,26.7,,24.2,,,0.23,,0.25,,,0.27,,0.26,
60,76.6,,71.9,,,28.6,,25.9,,,0.23,,0.24,,,0.27,,0.27,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,
