Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mschpprts05at17.csv,,,,,,,,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 4: Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release, by characteristics",,,,,,,,,,,,,,,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/24/2015,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 4: Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release, by characteristics",,,,,,,,,,,,,,,,,,,,,
,,"Following release, percent of prisoners arrested—",,,,,,,,,,,,,,,,,,,
,,Within or outside the state of release,,,,,,,Within the state of release,,,,,,,Outside the state of release,,,,,
Characteristic,,1 year,,3 years,,5 years,,,1 year,,3 years,,5 years,,,1 year,,3 years,,5 years,
,All released prisoners,0.29,%,0.25,%,0.23,%,,0.29,%,0.26,%,0.24,%,,0.09,%,0.13,%,0.16,%
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,0.32,%,0.28,%,0.25,%,,0.32,%,0.29,%,0.26,%,,0.1,%,0.15,%,0.17,%
,Female,0.49,,0.48,,0.44,,,0.49,,0.48,,0.45,,,0.12,,0.21,,0.25,
Race/Hispanic origin,,,,,,,,,,,,,,,,,,,,,
,White,0.44,%,0.39,%,0.35,%,,0.44,%,0.41,%,0.38,%,,0.15,%,0.23,%,0.27,%
,Black/African American,0.42,,0.35,,0.3,,,0.42,,0.37,,0.32,,,0.12,,0.18,,0.22,
,Hispanic/Latino,0.93,,0.81,,0.75,,,0.93,,0.84,,0.78,,,0.24,,0.38,,0.44,
,Other,1.97,,1.71,,1.57,,,1.98,,1.76,,1.63,,,0.32,,0.73,,0.79,
Age at release,,,,,,,,,,,,,,,,,,,,,
,24 or younger,0.68,%,0.54,%,0.45,%,,0.69,%,0.57,%,0.49,%,,0.23,%,0.33,%,0.4,%
,25–29,0.68,,0.55,,0.48,,,0.69,,0.59,,0.53,,,0.23,,0.33,,0.39,
,30–34,0.76,,0.66,,0.6,,,0.76,,0.69,,0.64,,,0.21,,0.36,,0.44,
,35–39,0.77,,0.65,,0.57,,,0.77,,0.67,,0.61,,,0.21,,0.34,,0.42,
,40 or older,0.54,,0.5,,0.46,,,0.54,,0.51,,0.48,,,0.14,,0.21,,0.24,
Type of prison release,,,,,,,,,,,,,,,,,,,,,
,Conditional ,0.37,%,0.32,%,0.29,%,,0.37,%,0.33,%,0.3,%,,0.1,%,0.16,%,0.19,%
,Unconditional,0.42,,0.39,,0.35,,,0.42,,0.41,,0.38,,,0.18,,0.26,,0.29,
Prior out-of-state arrests,,,,,,,,,,,,,,,,,,,,,
,0,0.34,%,0.3,%,0.27,%,,0.34,%,0.31,%,0.28,%,,0.07,%,0.12,%,0.15,%
,1 or more,0.55,,0.47,,0.42,,,0.55,,0.52,,0.49,,,0.28,,0.39,,0.43,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,,,
