Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mschpprts05t04.csv,,,,,,,,,,,,,,,,,,,,,
"Table 4. Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release, by characteristics",,,,,,,,,,,,,,,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/24/2015,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Table 4. Percent of prisoners released in 30 states in 2005 who were arrested following release within or outside the state of release, by characteristics",,,,,,,,,,,,,,,,,,,,,
,,"Following release, percent of prisoners arrested—",,,,,,,,,,,,,,,,,,,
,,Within or outside the state of release,,,,,,,Within the state of release,,,,,,,Outside the state of release,,,,,
Characteristic,,1 year,,3 years,,5 years,,,1 year,,3 years,,5 years,,,1 year,,3 years,,5 years,
,All released prisoners,43.4,%,67.8,%,76.6,%,,41,%,63.8,%,71.9,%,,3.3,%,7.7,%,10.9,%
Sex,,,,,,,,,,,,,,,,,,,,,
,Male*,44.5,%,69,%,77.6,%,,42,%,64.8,%,72.8,%,,3.4,%,7.9,%,11.2,%
,Female,34.4, **,58.5, **,68.1, **,,32.6, **,55.4, **,64.3, **,,2.3, **,6, **,8.6, **
Race/Hispanic origin,,,,,,,,,,,,,,,,,,,,,
,"White/a,*",39.7,%,63.9,%,73.1,%,,36.7,%,58.8,%,67.2,%,,4.1,%,9.5,%,13.3,%
,Black/African Americana,45.8, **,71.7, **,80.8, **,,43.7, **,68.1, **,76.6, **,,2.9, **,6.8, **,9.8, **
,Hispanic/Latino,46.3, **,68.1, **,75.3, **,,44.4, **,64.9, **,71.6, **,,2.5, **,6, **,8.3, **
,"Other/a,b",42.7,,67.3,,75,,,40.7, **,63.8, **,71.3, **,,2.7, **,6.7, **,9.1, **
Age at release,,,,,,,,,,,,,,,,,,,,,
,24 or younger*,51.3,%,75.9,%,84.1,%,,48.8,%,71.9,%,80,%,,3.7,%,8.3,%,11.7,%
,25–29,45.4, **,71.1, **,80.3, **,,42.5, **,66.4, **,75, **,,3.9,,8.8,,12.3,
,30–34,43.4, **,68.1, **,77, **,,40.5, **,63.2, **,71.2, **,,3.5,,8.6,,12.5,
,35–39,44.4, **,69.8, **,78.1, **,,42.1, **,65.9, **,73.4, **,,3.2,,7.9,,11.5,
,40 or older,37.3, **,60.3, **,69.2, **,,35.3, **,56.7, **,64.9, **,,2.6, **,6.2, **,8.5, **
Type of prison release,,,,,,,,,,,,,,,,,,,,,
,Conditional* ,44,%,67.8,%,76.5,%,,42.2,%,64.7,%,72.8,%,,2.5,%,6.3,%,9.3,%
,Unconditional,41.8, **,67.9,,76.8,,,37.7, **,61.3, **,69.4, **,,5.3, **,11.3, **,15.1, **
Prior out-of-state arrests,,,,,,,,,,,,,,,,,,,,,
,0*,43,%,67.3,%,76,%,,42,%,65.5,%,73.8,%,,1.5,%,4,%,6.3,%
,1 or more,44.6, **,69.4, **,78.4, **,,37.7, **,58.5, **,66.1, **,,8.9, **,18.9, **,24.9, **
"Note: Data on the prisoner’s sex and age at release were known for 100% of cases, race and Hispanic origin for nearly 100%, and type of prison release for 98.2%. Prisoners were tracked for 5 years following release. Prior out-of-state arrests include those that occurred before release in 2005 in another state. See appendix table 17 for standard errors.",,,,,,,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,,,,,,,
**Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indian or Alaska Natives; Asian, Native Hawaiian, or other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,,,,,,,,
