Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510at01,,,,,,
Appendix table 1. Standard errors for table 1: Characteristics of prisoners released in 12 states in 1994 and 2005,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
,,,,,,
Appendix table 1. Standard errors for table 1: Characteristics of prisoners released in 12 states in 1994 and 2005,,,,,,
Characteristic,,1994,,,2005,
Sex,,,,,,
,Male,0.28,%,,--,
,Female,0.28,,,--,
Race/Hispanic origin,,,,,,
,White ,0.41,%,,0.38,%
,Black /African American,0.45,,,0.37,
,Hispanic/Latino,0.4,,,0.37,
,Other ,0.08,,,0.13,
Age at release,,,,,,
,24 or younger,0.37,%,,0.3,%
,25–29,0.4,,,0.32,
,30–34,0.4,,,0.3,
,35–39,0.35,,,0.3,
,40 or older,0.35,,,0.38,
Most serious commitment offense,,,,,,
,Violent,0.11,%,,0.36,%
,Property,0.12,,,0.37,
,Drug,0.21,,,0.38,
,Public order,0.19,,,0.25,
-- Less than 0.005%.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
