Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510at04,,,,,,
"Appendix table 4. Standard errors for table 4: Population-adjusted percent of prisoners arrested for a violent crime within 3 years following release in 11 states in 1994 and 2005, by demographic characteristics and most serious commitment offens",,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
,,,,,,
"Appendix table 4. Standard errors for table 4: Population-adjusted percent of prisoners arrested for a violent crime within 3 years following release in 11 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Characteristic,,1994,,,2005,
,All released prisoners,0.39,%,,0.38,%
Sex,,,,,,
,Male,0.41,%,,0.4,%
,Female,0.96,,,0.93,
Race/Hispanic origin,,,,,,
,White ,0.58,%,,0.58,%
,Black/African American,0.63,,,0.58,
,Hispanic/Latino,0.87,,,0.86,
,Other,3.07,,,5.17,
Age at release,,,,,,
,24 or younger,0.93,%,,0.91,%
,25–29,0.85,,,0.86,
,30–34,0.84,,,0.85,
,35–39,0.85,,,0.85,
,40 or older,0.81,,,0.64,
Most serious commitment offense,,,,,,
,Violent,0.73,%,,0.72,%
,Property,0.67,,,0.72,
,Drug,0.71,,,0.67,
,Public order,1.2,,,0.94,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
