Bureau of Justice Statistics,,,,
Filename: rprts05p0510at06,,,,
Appendix table 6. Standard errors for table 6: Out-of-state arrests of prisoners released in 30 states in 2005 arrests,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of release: 04/22/14,,,,
,,,,
Appendix table 6. Standard errors for table 6: Out-of-state arrests of prisoners released in 30 states in 2005 arrests,,,,
Out-of-state arrests,,,Percent,
Prior to release,,,,
,1 or more,,0.24,%
,,1–4,0.21,
,,5–9,0.11,
,,10 or more,0.09,
Post-release,,,,
,1 or more,,0.16,%
,,1–4,0.15,
,,5–9,0.05,
,,10 or more,0.02,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,
