Bureau of Justice Statistics,,,
Filename: rprts05p0510at08,,,
Appendix table 8. Standard errors for table 7: Post-release arrests of prisoners released in 30 states in 2005,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
,,,
Appendix table 8. Standard errors for table 7: Post-release arrests of prisoners released in 30 states in 2005,,,
Post-release arrests,,Percent,
None,,0.23,%
1,,0.22,
2,,0.21,
3,,0.19,
4,,0.17,
5,,0.16,
6 or more,,0.24,
Estimated number of post-release arrests,,"8,328.32",
,Mean number per released prisoners,0.02,
,Median number per released prisoners,0.02,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
