Bureau of Justice Statistics,,,
Filename: rprts05p0510at10,,,
"Appendix table 10. Standard errors for table 9: Recidivism of prisoners released in 30 states in 2005, by type of post-release arrest charge",,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
 ,,,
"Appendix table 10. Standard errors for table 9: Recidivism of prisoners released in 30 states in 2005, by type of post-release arrest charge",,,
,,Percent of released prisoners ,
Post-release arrest charge,,arrested within 5 years of release,
,Any offense,0.23,%
Violent,,0.27,%
,Homicide,0.06,
,Rape/sexual assault,0.08,
,Robbery,0.15,
,Assault,0.25,
,Other,0.12,
Property ,,0.29,%
,Burglary,0.19,
,Larceny/motor vehicle theft,0.24,
,Fraud/forgery,0.2,
,Other,0.24,
Drug,,0.29,%
,Possession,0.27,
,Trafficking,0.21,
,Other,0.25,
Public order,,0.27,%
,Weapons,0.19,
,Driving under the influence,0.18,
,Probation/parole violation,0.26,
,Other,0.29,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
