Bureau of Justice Statistics,,,,,
Filename: rprts05p0510at14,,,,,
"Appendix table 14. Standard errors for table 13: Post-release arrests of prisoners released in 30 states in 2005, by sex of releasee",,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of release: 04/22/14,,,,,
,,,,,
"Appendix table 14. Standard errors for table 13: Post-release arrests of prisoners released in 30 states in 2005, by sex of releasee",,,,,
Post-release arrests,,Male,,Female,
None,,0.25,%,0.44,%
1,,0.25,,0.38,
2,,0.23,,0.36,
3,,0.21,,0.31,
4,,0.19,,0.28,
5,,0.17,,0.27,
6 or more,,0.26,,0.38,
Estimated post-release arrests,,"8,193.63",,"1,491.77",
,Mean number,0.02,,0.03,
,Median number,0.02,,0.03,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,
