Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510at15,,,,,,,,,,,,,
"Appendix table 15. Standard errors for table 14: Recidivism of prisoners released in 30 states in 2005, by age at release, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 15. Standard errors for table 14: Recidivism of prisoners released in 30 states in 2005, by age at release, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Age at release and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,0.28,%,0.29,%,0.27,%,0.25,%,0.24,%,0.23,%
24 or younger,,0.69,%,0.68,%,0.6,%,0.54,%,0.49,%,0.45,%
,Violent,1.34,,1.38,,1.27,,1.17,,1.1,,0.99,
,Property,1.23,,1.17,,1,,0.89,,0.8,,0.74,
,Drug,1.21,,1.23,,1.05,,0.93,,0.82,,0.77,
,Public order,2.15,,2.04,,1.8,,1.65,,1.48,,1.27,
25–29,,0.67,%,0.68,%,0.62,%,0.55,%,0.51,%,0.48,%
,Violent,1.31,,1.37,,1.29,,1.16,,1.07,,0.99,
,Property,1.33,,1.31,,1.15,,1.02,,0.94,,0.88,
,Drug,1.11,,1.15,,1.05,,0.94,,0.86,,0.82,
,Public order,1.88,,1.89,,1.7,,1.55,,1.43,,1.35,
30–34,,0.73,%,0.76,%,0.71,%,0.66,%,0.63,%,0.6,%
,Violent,1.45,,1.53,,1.48,,1.41,,1.34,,1.29,
,Property,1.44,,1.42,,1.27,,1.15,,1.05,,1,
,Drug,1.23,,1.31,,1.24,,1.17,,1.1,,1.05,
,Public order,1.95,,1.97,,1.86,,1.74,,1.68,,1.58,
35–39,,0.75,%,0.77,%,0.71,%,0.65,%,0.61,%,0.57,%
,Violent,1.53,,1.61,,1.44,,1.35,,1.28,,1.24,
,Property,1.4,,1.37,,1.21,,1.05,,0.96,,0.92,
,Drug,1.35,,1.38,,1.32,,1.22,,1.14,,1.06,
,Public order,1.73,,1.84,,1.82,,1.75,,1.68,,1.59,
40 or older,,0.51,%,0.54,%,0.52,%,0.5,%,0.48,%,0.46,%
,Violent,0.95,,1.05,,1.06,,1.05,,1.02,,0.99,
,Property,1.02,,1.04,,0.96,,0.9,,0.85,,0.81,
,Drug,0.95,,1.01,,0.95,,0.89,,0.85,,0.81,
,Public order,1.09,,1.18,,1.26,,1.22,,1.18,,1.16,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
