Bureau of Justice Statistics,,,,,
Filename: rprts05p0510t01,,,,,
Table 1. Characteristics of prisoners released in 12 states in 1994 and 2005,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of release: 04/22/14,,,,,
,,,,,
Table 1. Characteristics of prisoners released in 12 states in 1994 and 2005,,,,,
Characteristic,,1994,,2005,
,All released prisoners,100,%,100,%
Sex,,,,,
,Male,91.2,%,89.9,%
,Female,8.8,,10.1,
Race/Hispanic origin,,,,,
,White/a,32.2,%,35.4,%
,Black/African American/a,46.2,,40.5,
,Hispanic/Latino,20.9,,22.4,
,"Other/a,b",0.7,,1.8,
Age at release,,,,,
,24 or younger,20.6,%,16.9,%
,25–29,22.7,,18.9,
,30–34,23,,16,
,35–39,16.6,,16.1,
,40 or older,17.2,,32.1,
Most serious commitment offense,,,,,
,Violent,22.4,%,27.4,%
,Property,33.2,,29.1,
,Drug,33,,31.4,
,Public order/c,11.4,,12.1,
Number of released prisoners,,"249,657",,"286,829",
"Note: Estimates based on a sample of 29,387 prisoners released in 1994 and a sample of 34,649 prisoners released in 2005 in the 12 states that participated in both studies (California, Florida, Maryland, Michigan, Minnesota, New Jersey, New York, North Carolina, Ohio, Oregon, Texas, and Virginia). Data on the sex of prisoners released in 1994 were known for 100% of cases, race and Hispanic origin for 99.9%, and age at release for nearly 100%. Data on the sex of prisoners released in 2005 were known for 100% of cases, race and Hispanic origin for 99.8%, and age at release for 100%. See appendix table 1 for standard errors.",,,,,
a/Excludes persons of Hispanic or Latino origin.,,,,,
"b/Includes persons identified as American Indian or Alaska Native; Asian, Native Hawaiian, or other Pacific Islander; and persons of other races.",,,,,
c/Includes cases in which the prisoner’s most serious offense was unspecified.,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,
