Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510t02,,,,,,
"Table 2. Population-adjusted percent of prisoners arrested for a new crime within 3 years following release in 12 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
,,,,,,
"Table 2. Population-adjusted percent of prisoners arrested for a new crime within 3 years following release in 12 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Characteristic,,1994,,,2005/a,
,All released prisoners,66.9,%,,71.6,%**
Sex,,,,,,
,Male,67.8,%,,72.5,%**
,Female,57.2,,,62.9,**
Race/Hispanic origin,,,,,,
,White/b,61.7,%,,68.8,%**
,Black/African American/b,71.9,,,74,**
,Hispanic/Latino,64.6,,,70.7,**
,"Other/b ,c",53.6,,,72.6,**
Age at release,,,,,,
,24 or younger,74.7,%,,78.2,%**
,25–29,69.8,,,73.4,**
,30–34,68.3,,,70.3, 
,35–39,66.3,,,71.8,**
,40 or older,52.4,,,62.9,**
Most serious commitment offense,,,,,,
,Violent,60.9,%,,65.6,%**
,Property,73.2,,,77.6,**
,Drug,66.3,,,71.4,**
,Public order/d,62.2,,,66.9,**
Number of released prisoners,,"249,658",,,"286,011",
"Note: Estimates based on a sample of 29,387 prisoners released in 1994 and a sample of 34,649 prisoners released in 2005 in the 12 states that participated in both studies. See appendix table 2 for standard errors.",,,,,,
**Difference between the estimate on the 1994 cohort and the estimate on the standardized 2005 cohort was statistically significant at or above the 95% confidence interval.,,,,,,
"a/Estimates of inmates released in 2005 have been standardized to the distribution of inmates released in 1994 by sex, race, Hispanic origin, age at release, and most serious commitment offense. The unadjusted estimate for the 2005 cohort was 69.3%.",,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,
"c/Includes persons identified as American Indian or Alaska Native; Asian, Native Hawaiian, or other Pacific Islander; and persons of other races.",,,,,,
d/Includes cases in which the prisoner’s most serious offense was unspecified.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
