Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510t03,,,,,,
Table 3. First arrest charge of prisoners arrested for a new crime within 3 years following release in 11 states in 1994 and 2005 ,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
 ,,,,,,
Table 3. First arrest charge of prisoners arrested for a new crime within 3 years following release in 11 states in 1994 and 2005 ,,,,,,
Most serious arrest charge,,1994,,,2005,
,All released prisoners,100,%,,100,%
Violent,,18.8,%,,14.8,%
Property,,28.8,,,23.6,
Drug,,29.5,,,25.6,
Public order*,,22.9,,,36,
Estimated number of prisoners with a post-release arrest,,"161,000",,,"191,000",
"Note: Estimates based on a sample of 27,788 prisoners released in 1994 and a sample of 32,155 prisoners released in 2005 in the 11 states that participated in both studies and included charge descriptions in their arrest records. Number of arrests was rounded to the nearest 1,000. First arrest may include multiple charges; the most serious charge is reported in this table. See appendix table 3 for standard errors.",,,,,,
*Includes cases in which the prisoner’s most serious offense was unspecified.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
