Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510t04,,,,,,
"Table 4. Population-adjusted percent of prisoners arrested for a violent crime within 3 years following release in 11 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
 ,,,,,,
"Table 4. Population-adjusted percent of prisoners arrested for a violent crime within 3 years following release in 11 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Characteristic,,1994,,,2005/a,
,All released prisoners,21.3,%,,21.8,% 
Sex,,,,,,
,Male,22.4,%,,22.7,% 
,Female,10.2,,,13.1,**
Race/Hispanic origin,,,,,,
,White/b,16.4,%,,19.3,%**
,Black/African American/b,26.2,,,25.3, 
,Hispanic/Latino,18.7,,,18.5, 
,"Other/b,c",19,,,18.5, 
Age at release,,,,,,
,24 or younger,28.9,%,,28.6,% 
,25–29,23.9,,,24.8, 
,30–34,21.2,,,20.1, 
,35–39,17.3,,,19.5, 
,40 or older,12.7,,,14.3, 
Most serious commitment offense,,,,,,
,Violent,27,%,,24.8,%**
,Property,21.4,,,22.2, 
,Drug,18.4,,,19.5, 
,Public order/d,17.9,,,21.4,**
Number of released prisoners,,"241,448",,,"276,218",
"Note: Estimates based on a sample of 27,788 prisoners released in 1994 and a sample of 32,155 prisoners released in 2005 in the 11 states that participated in both studies and included charge descriptions in their arrest records. See appendix table 4 for standard errors.",,,,,,
**Difference between the estimate on the 1994 cohort and the estimate on the standardized 2005 cohort was statistically significant at or above the 95% confidence interval.,,,,,,
"a/Estimates of inmates released in 2005 have been standardized to the distribution of inmates released in 1994 by sex, race, Hispanic origin, age at release, and most serious commitment offense. The unadjusted estimate for the 2005 cohort was 20.1%.",,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,
"c/Includes persons identified as American Indian or Alaska Native; Asian, Native Hawaiian, or other Pacific Islander; and persons of other races.",,,,,,
d/Includes cases in which the prisoner’s most serious offense was unspecified.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
