Bureau of Justice Statistics,,,
Filename: rprts05p0510t05,,,
Table 5. Characteristics of prisoners released in 30 states in 2005,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
 ,,,
Table 5. Characteristics of prisoners released in 30 states in 2005,,,
Characteristic,,Percent,
,All released prisoners,100,%
Sex,,,
,Male,89.3,%
,Female,10.7,
Race/Hispanic origin,,,
,White/a,39.9,%
,Black/African American/a,40.1,
,Hispanic/Latino,17.7,
,"Other/a,b",2.4,
Age at release,,,
,24 or younger,17.6,%
,25–29,19.3,
,30–34,15.9,
,35–39,15.7,
,40 or older,31.5,
Most serious commitment offense ,,,
,Violent,25.7,%
,Property,29.8,
,Drug,31.8,
,Public order/c,12.7,
Number of prior arrests per released prisoner/d,,,
,2 or fewer,11.5,%
,3–4,14.2,
,5–9,31.1,
,10 or more,43.2,
,Mean number,10.6,
,Median number,7.8,
Number of prior convictions per released prisonerd,,,
,Mean number,4.9,
,Median number,3.1,
Number of released prisoners,,"404,638",
"Note: Data on the prisoner’s sex were known for 100% of cases, race and Hispanic origin for nearly 100%, and age at release for 100%. See appendix table 5 for standard errors.",,,
a/Excludes persons of Hispanic or Latino origin.,,,
"b/Includes persons identified as American Indian or Alaska Native; Asian, Native Hawaiian, or other Pacific Islander; and persons of other races.",,,
c/Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,
d/Includes arrest and conviction that resulted in the imprisonment.,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
