Bureau of Justice Statistics,,,,
Filename: rprts05p0510t06,,,,
Table 6. Out-of-state arrests of prisoners released in 30 states in 2005,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of release: 04/22/14,,,,
 ,,,,
Table 6. Out-of-state arrests of prisoners released in 30 states in 2005,,,,
Out-of-state arrests,,,Percent,
Prior to release,,,,
,1 or more,,24.7,%
,,1–4,17.5,
,,5–9,4.3,
,,10 or more,2.9,
Post-release,,,,
,1 or more,,10.9,%
,,1–4,9.6,
,,5–9,1.1,
,,10 or more,0.2,
Note: Prisoners were tracked for 5 years following release. Arrested out-of-state includes arrests that occurred in states other than the one that released the prisoner in 2005. See appendix table 6 for standard errors.,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,
