Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: rprts05p0510t08,,,,,,,,,,,,,,
"Table 8. Recidivism of prisoners released in 30 states in 2005, by most serious commitment offense and time from release to first arrest",,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection ",,,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Table 8. Recidivism of prisoners released in 30 states in 2005, by most serious commitment offense and time from release to first arrest",,,,,,,,,,,,,,
Most serious commitment offense,,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
,,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,,28.2,%,43.4,%,59.5,%,67.8,%,73,%,76.6,%
Violent,,,24.9,%,38.4,%,53.8,%,61.6,%,67.2,%,71.3,%
,Homicide/a,,12.5,,21.5,,33.9,,41.5,,47,,51.2,
,,Murder,10.1,,18.8,,30.4,,37.8,,43.6,,47.9,
,,Nonnegligent manslaughter,17.3,,27.7,,39.4,,46,,51.5,,55.7,
,,Negligent manslaughter,13.2,,21.9,,35.5,,43.7,,48.8,,53,
,Rape/sexual assault,,20.8,,30.9,,43.7,,50.9,,56,,60.1,
,Robbery,,25.8,,41,,58.6,,66.9,,72.8,,77,
,Assault,,27.9,,42.6,,58.9,,67.1,,72.9,,77.1,
,Other,,28.7,,43.4,,56.6,,63,,66.9,,70.4,
Property,,,33.6,%,50.3,%,66.7,%,74.5,%,79.1,%,82.1,%
,Burglary,,31,,48.7,,65.8,,73.9,,78.9,,81.8,
,Larceny/motor vehicle theft,,39.3,,56.2,,70.8,,77.6,,81.6,,84.1,
,Fraud/forgery,,27.7,,42.2,,60,,68.6,,73.2,,77,
,Other,,33.2,,49.5,,66.6,,75.5,,80.9,,83.6,
Drug,,,26.9,%,42.3,%,59.1,%,67.9,%,73.3,%,76.9,%
,Possession,,28.7,,44.5,,60.7,,69.6,,75.2,,78.3,
,Trafficking,,26.9,,41.5,,58,,66.6,,71.9,,75.4,
,Other,,25.3,,41.4,,59.3,,68.3,,73.6,,78.1,
Public order,,,25.6,%,40.1,%,55.6,%,64.7,%,69.9,%,73.6,%
,Weapons,,35.3,,49.1,,65.1,,73.1,,76.9,,79.5,
,Driving under the influence,,11.9,,22.1,,37.2,,48,,54.9,,59.9,
,Other/b,,27.8,,44.9,,60.4,,69.2,,74.1,,77.9,
Note: Prisoners were tracked for 5 years following release. Inmates could have been in prison for more than one offense; the most serious one is reported in this table. See appendix table 9 for standard errors. ,,,,,,,,,,,,,,
"a/Includes cases in which the type of homicide was unspecified, not shown separately.",,,,,,,,,,,,,,
b/Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,
