Bureau of Justice Statistics,,,,,
Filename: rprts05p0510t13,,,,,
"Table 13. Post-release arrests of prisoners released in 30 states in 2005, by sex of releasee",,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of release: 04/22/14,,,,,
,,,,,
"Table 13. Post-release arrests of prisoners released in 30 states in 2005, by sex of releasee",,,,,
Post-release arrests,,Male,,Female,
,All released prisoners,100,%,100,%
None,,22.4,,31.9,
1,,18.9,,18.7,
2,,15.5,,13.6,
3,,11.7,,9.5,
4,,8.7,,6.9,
5,,6.4,,5.8,
6 or more,,16.4,,13.5,
Estimated number of post-release arrests,,"1,065,000",,"108,000",
,Mean number,2.9,,2.5,
,Median number,1.6,,1,
Number of released prisoners,,"361,469",,"43,170",
"Note: Prisoners were tracked for 5 years following release. Number of post-release arrests was rounded to the nearest 1,000. Data on prisoner’s sex were known for 100% of cases. See appendix table 14 for standard errors.",,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,
