Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510t14,,,,,,,,,,,,,
"Table 14. Recidivism of prisoners released in 30 states in 2005, by age at release, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 14. Recidivism of prisoners released in 30 states in 2005, by age at release, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Age at release and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,28.2,%,43.4,%,59.5,%,67.8,%,73,%,76.6,%
24 or younger,,34,%,51.3,%,68.1,%,75.9,%,80.7,%,84.1,%
,Violent,30.6,,45.6,,62.7,,71.1,,76.2,,80.4,
,Property,37.3,,55.1,,70.9,,78.3,,82.9,,85.8,
,Drug,31.6,,50,,69.3,,77.4,,82.4,,85.4,
,Public order*,38.2,,56.2,,69.8,,76.2,,80.8,,84.7,
25–29,,29,%,45.4,%,62.1,%,71.1,%,76.6,%,80.3,%
,Violent,25.1,,39.6,,56.5,,66.4,,72.7,,76.7,
,Property,34.2,,51.1,,67.3,,75.4,,80,,83.5,
,Drug,27.4,,44.3,,61.5,,70.8,,76.6,,80.4,
,Public order*,30,,48.1,,64.3,,72.1,,77,,80.7,
30–34,,28,%,43.4,%,60,%,68.1,%,73.4,%,77,%
,Violent,25.1,,38.6,,54.9,,62.4,,68.2,,72,
,Property,33.8,,50.9,,68.3,,76,,80.7,,83.7,
,Drug,25.5,,41.2,,58.4,,66.8,,72.2,,76.1,
,Public order*,27.5,,42.3,,56.4,,66,,71.2,,75.2,
35–39,,29.2,%,44.4,%,61.2,%,69.8,%,74.7,%,78.1,%
,Violent,26.7,,42.1,,59.6,,66.1,,70.6,,74,
,Property,35,,52.8,,69.3,,77.6,,81.9,,83.8,
,Drug,27.8,,40.7,,56.7,,67,,72.8,,77,
,Public order*,24.1,,38,,56,,64.9,,70.3,,74.8,
40 or older,,24,%,37.3,%,52.1,%,60.3,%,65.5,%,69.2,%
,Violent,20.3,,31.5,,43.4,,50.3,,56,,60.7,
,Property,29.8,,44.9,,61.2,,69,,73.8,,76.9,
,Drug,24.6,,38.7,,54.2,,62.5,,67.6,,71.2,
,Public order*,17.6,,28.8,,44.4,,55.3,,60.6,,63.9,
Note: Prisoners were tracked for 5 years following release. Inmates could have been in prison for more than one offense; the most serious one is reported in this table. Data on prisoner’s age were known for 100% of cases. See appendix table 15 for standard errors.,,,,,,,,,,,,,
*Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
