Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510t15,,,,,,,,,,,,,
"Table 15. Recidivism of prisoners released in 30 states in 2005, by race or Hispanic origin, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 15. Recidivism of prisoners released in 30 states in 2005, by race or Hispanic origin, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Race/Hispanic origin and most serious commitment offense,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,28.2,%,43.4,%,59.5,%,67.8,%,73,%,76.6,%
White/a,,25.6,%,39.7,%,55.5,%,63.9,%,69.3,%,73.1,%
,Violent,21.9,,33.6,,48.2,,55.6,,61.1,,65.1,
,Property,31.2,,47.6,,63.9,,71.9,,76.9,,80,
,Drug,23.6,,37.7,,53.4,,62.4,,68.2,,72.6,
,Public orderb,21.5,,33.9,,50.1,,60.2,,65.6,,69.5,
Black/African American/a,,29.1,%,45.8,%,63.2,%,71.7,%,77.2,%,80.8,%
,Violent,26.1,,41.5,,58.1,,66.4,,72.6,,76.9,
,Property,33.9,,51.3,,68.5,,76.5,,81.8,,84.5,
,Drug,28.5,,45.5,,63.7,,72.6,,77.9,,81.5,
,Public order/b,27.3,,44.4,,61.4,,69.9,,75.3,,79.1,
Hispanic/Latino,,32.3,%,46.3,%,60.7,%,68.1,%,72.2,%,75.3,%
,Violent,28.1,,40.9,,54.9,,62.7,,67.5,,71.3,
,Property,39.8,,55.7,,71.1,,77.6,,80.2,,83,
,Drug,29,,42.2,,57,,65,,69.8,,72.5,
,Public order/b,34.9,,50.4,,61.7,,68.4,,72.2,,75.9,
"Other/a,c",,25.7,%,42.7,%,58.3,%,67.3,%,72.1,%,75,%
,Violent,19.9,,34.7,,51.9,,58.9,,62,,66.6,
,Property,36.5,,55.4,,69.3,,78.3,,81.6,,83.7,
,Drug,19.4,,39.5,,57,,67.3,,76.5,,78.1,
,Public order/b,23,,37.3,,51.1,,62.4,,68.4,,71.2,
Note: Prisoners were tracked for 5 years following release. Inmates could have been in prison for more than one offense; the most serious one is reported in this table. Data on the prisoner’s race or Hispanic origin were known for nearly 100% of cases. See appendix table 16 for standard errors.,,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,,
b/Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,,,,,,,,,,,
"c/Includes persons identified as American Indian or Alaska Native; Asian, Native Hawaiian, or other Pacific Islander; and persons of other races.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
